Title,Poem,Poet,Tags,Cluster
The Hyphen,"For the centenary of Girton College\n\n\n\n\n\n\n\ni hyphen (Gk. together, in one)\n\na short dash or line used to connect\n\ntwo words together as a compound\n\n1869-\n\n1969\n\nto connect Chapel Wing and Library.\n\nBut also: to divide\n\nfor etymological or other purpose.\n\nA gap in stone makes actual\n\nthe paradox of a centenary.\n\n“It was a hyphen connecting different races.”\n\nand to the library\n\n“a bridge for migrations”.\n\nIn search of an etymology\n\n                                             for compound lives,\n\nthis architecture,\n\n                              an exercise in paleography\n\n(Victorian Gothic)\n\n                                asserts the same intention.\n\nPortraits busts and books\n\n                                             the “context in which we occur”\n\nthat teaches us our meaning,\n\n                                                  ignore the lacunae\n\nof a century\n\n                      in their state-\n\nment of our need to hyphenate.",Veronica Forrest-Thomson,Language & Linguistics,2
Not Pastoral Enough,"homage to William Empson\n\n\n\n\n\n\n\nIt is the sense, it is the sense, controls,\n\nLanding every poem like a fish.\n\nUnhuman forms must not assert their roles.\n\n \n\nGlittering scales require the deadly tolls\n\nOf net and knife. Scales fall to relish.\n\nIt is the sense, it is the sense, controls.\n\n \n\nYet languages are apt to miss on souls\n\nIf reason only guts them. Applying the wish,\n\nUnhuman forms must not assert their roles,\n\n \n\nIgnores the fact that poems have two poles\n\nThat must be opposite. Hard then to finish\n\nIt is the sense, it is the sense, controls,\n\n \n\nWithout a sense of lining up for doles\n\nFrom other kitchens that give us the garnish:\n\nUnhuman forms must not assert their roles.\n\n \n\nAnd this (forgive me) is like carrying coals\n\nTo Sheffield. Irrelevance betrays a formal anguish.\n\nIt is the sense, it is the sense, controls,\n\n“Unhuman forms must not assert their roles”.",Veronica Forrest-Thomson,Poetry & Poets,1
The Guardians,"All day we packed boxes.\n\nWe read birth and death certificates.\n\nThe yellowed telegrams that announced\n\nour births, the cards of congratulations\n\nand condolences, the deeds and debts,\n\nlove letters, valentines with a heart\n\nripped out, the obituaries.\n\nWe opened the divorce decree,\n\na terrible document of division and subtraction.\n\nWe leafed through scrapbooks:\n\ncorsages, matchbooks, programs to the ballet,\n\nracetrack, theatre—joy and frivolity\n\nparceled in one volume—\n\npainstakingly arranged, preserved\n\nand pasted with crusted glue.\n\nWe sat in the room in which the beloved\n\nhad departed. We remembered her yellow hair\n\nand her mind free of paradox.\n\nWe sat together side by side\n\non the empty floor and did not speak.\n\nThere were no words\n\nbetween us other than the essence\n\nof the words from the correspondences,\n\nour inheritance—plain speak,\n\nbereft of poetry.",Jill Bialosky,,0
Homecoming,"At the high school football game, the boys\n\nstroke their new muscles, the girls sweeten their lips\n\nwith gloss that smells of bubblegum, candy cane,\n\nor cinnamon. In pleated cheerleader skirts\n\nthey walk home with each other, practicing yells,\n\ntheir long bare legs forming in the dark.\n\nUnder the arched field lights a girl\n\nin a velvet prom dress stands near the chainlink,\n\na cone of roses held between her breasts.\n\nHer lanky father, in a corduroy suit, leans\n\nagainst the fence. While they talk, she slips a foot\n\nin and out of a new white pump, fingers the weave\n\nof her French braid, the glittering earrings.\n\nThey could be a couple on their first date, she,\n\na little shy, he, trying to impress her\n\nwith his casual stance. This is the moment\n\nwhen she learns what she will love: a warm night,\n\nthe feel of nylon between her thighs, the fine hairs\n\non her arms lifting when a breeze\n\nsifts in through the bleachers, cars\n\nigniting their engines, a man bending over her,\n\nsmelling the flowers pressed against her neck.",Dorianne Laux,,2
What the Oracle Said,"You will leave your home:\n\nnothing will hold you.\n\nYou will wear dresses of gold; skins\n\nof silver, copper, and bronze.\n\nThe sky above you will shift in meaning\n\neach time you think you understand.\n\nYou will spend a lifetime chipping away layers\n\nof flesh. The shadow of your scales\n\nwill always remain. You will be marked\n\nby sulphur and salt.\n\nYou will bathe endlessly in clear streams and fail\n\nto rid yourself of that scent.\n\nYour feet will never be your own.\n\nStone will be your path.\n\nStorms will follow in your wake,\n\ndestroying all those who take you in.\n\nYou will desert your children\n\nkill your lovers and devour their flesh.\n\nYou will love no one\n\nbut the wind and ache of your bones.\n\nNeither will love you in return.\n\nWith age, your hair will grow matted and dull,\n\nyour skin will gape and hang in long folds,\n\nyour eyes will cease to shine.\n\nBut nothing will be enough.\n\nThe sea will never take you back.",Shara McCallum,"Living,Coming of Age,Disappointment & Failure,Life Choices,Nature,Seas, Rivers, & Streams,Social Commentaries",1
The Hot Dog Factory (1937),"Of course now children take it for granted but once\n\nwe watched boxes on a conveyor belt, sliding by,\n\nmagically filled and closed, packed and wrapped.\n\nWe couldn't get enough of it, running alongside the machine.\n\nIn kindergarten Miss Haynes walked our class down\n\nStuyvesant Avenue, then up Prospect Street\n\nto the hot dog factory. Only the girls got to go\n\nas the boys were too wild.\n\nWe stood in line, wiggling with excitement as the man\n\ntalked about how they made hot dogs, then he handed us\n\none, and Jan dropped hers, so I broke mine in half.\n\nThis was the happiest day of our lives,\n\nchildren whose mothers didn't drive, and had nowhere\n\nto go but school and home, to be taken to that street\n\nto watch the glittering steel and shining rubber belts moving,\n\nmoving meats, readymade.  I wish I could talk with Jan,\n\nrecalling the miracle and thrill of the hot dog factory,\n\nwhen she was alive, before it all stopped—\n\nbright lights, glistening motors, spinning wheels.\n\n ",Grace Cavalieri,,3
The Significance of Location,"The cat has the chance to make the sunlight\n\nBeautiful, to stop it and turn it immediately\n\nInto black fur and motion, to take it\n\nAs shifting branch and brown feather\n\nInto the back of the brain forever.\n\nThe cardinal has flown the sun in red\n\nThrough the oak forest to the lawn.\n\nThe finch has caught it in yellow\n\nAnd taken it among the thorns. By the spider\n\nIt has been bound tightly and tied\n\nIn an eight-stringed knot.\n\nThe sun has been intercepted in its one\n\nBasic state and changed to a million varieties\n\nOf green stick and tassel. It has been broken\n\nInto pieces by glass rings, by mist\n\nOver the river. Its heat\n\nHas been given the board fence for body,\n\nThe desert rock for fact. On winter hills\n\nIt has been laid down in white like a martyr.\n\nThis afternoon we could spread gold scarves\n\nClear across the field and say in truth,\n\n""Sun you are silk.""\n\nImagine the sun totally isolated,\n\nIts brightness shot in continuous streaks straight out\n\nInto the black, never arrested,\n\nNever once being made light.\n\nSomeone should take note\n\nOf how the earth has saved the sun from oblivion.",Pattiann Rogers,"Relationships,Pets,Nature,Animals,Stars, Planets, Heavens",0
"History Textbook, America","I\'d search for Philippines in History class.\n\nThe index named one page, moved on to Pierce.The Making of America marched past\n\nmy enigmatic father\'s place of birth.\n\nThe week he died some man we didn\'t know\n\ncalled up. This is his brother, one more shock,phoning for him. ""He died three days ago.""\n\nThe leaden black receiver did not talk.\n\nMy uncle never gave his name or town,\n\nwe never heard from him. Was it a dream?\n\nThe earpiece roar dissolved to crackling sounds,\n\na dial tone erased the Philippines.\n\nAnd yet my world grows huge with maps, crisscrossed,\n\nmy History alive with all I\'ve lost.",JoAnn Balingit,"Relationships,Family & Ancestors,Social Commentaries,History & Politics,Race & Ethnicity",0
Proem,"Not, in the saying of you, are you\n\nsaid. Baffled and like a root\n\nstopped by a stone you turn back questioning\n\nthe tree you feed. But what the leaves hear\n\nis not what the roots ask. Inexhaustibly,\n\nbeing at one time what was to be said\n\nand at another time what has been said\n\nthe saying of you remains the living of you\n\nnever to be said. But, enduring,\n\nyou change with the change that changes\n\nand yet are not of the changing of any of you.\n\nEver yourself, you are always about\n\nto be yourself in something else ever with me.",Martin Carter,"Life Choices,Language & Linguistics",1
Haiti,"For the earth has spoken,\n\nto you, her magma Creole.\n\nFull-throated syllables, up-\n\nrising from deep down,\n\nan honest elocution —\n\nrudimentary sound: guttural\n\nnouns, forthright, strong,\n\nthe rumbled conviction of verbs\n\nunfettered by reticence\n\nas the first poetry of creation.\n\nA secret has passed between you\n\nso wonderfully terrible,\n\nit laid your cities prostrate,\n\nraptured your citizenry.\n\nNow, we look to your remnant\n\ncourtesy cable TV\n\nand garble theories thinking\n\nourselves saved.\n\nOnly the wise among us pin\n\nour ears to the ground,\n\nlistening in hope of catching\n\neven a half syllable\n\nof the language forming\n\nlike a new world on your tongue.",Jennifer Rahim,"Arts & Sciences,Language & Linguistics,Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity",9
ain't that easy,when i look at my life\n\ni feel like bursting into tears\n\nmarriage\n\nand mental illness\n\nvintage washed\n\nmichael jackson graphic\n\nspiritual disco grieving ritual\n\nsell your body\n\nto your horse-eyed past\n\nlittle fictions\n\nsomebody got to sing\n\nand somebody\n\ngot to play the squaw\n\nlast time i saw him\n\nlast time i saw my honey\n\nburied your dead\n\nlack of afro\n\nexit wounds\n\ncut off whole limbs\n\nof generational desire\n\nthe death of cleopatra\n\nhell or high water\n\nget some fucking\n\nlove in your life girl\n\nghost chant\n\nyou’ve got to die\n\nif you want to live\n\namidst and against \n\nthe things we are\u2028\n\nrubbed into the cloth\n\nwrapped around their faces\n\nnow white men\n\nare black men too\n\nthe ways\n\nwe can’t say no\n\ni call you queen\n\nnot as a term of endearment\n\nbut as a reminder\n\nour histories meet\n\non the inside\n\nwe all be black moses\n\nslave for the river\n\nsame river twice\n\nsometimes\n\nhave to emphasize\n\nthe brown part\n\nhey there beautiful brown girl\n\nwe don't usually change\n\nuntil things are so painful\n\nthat we must\n\n ,erica lewis,"Living,Life Choices,Separation & Divorce,Sorrow & Grieving,Love,Break-ups & Vexed Love,Arts & Sciences,Music,Social Commentaries,Race & Ethnicity",1
Between The Griffon and Met Life,"I am totally enamored of every person passing in this unseasonably warm mid-March evening near 39th and Park\n\n \n\nThe young women, of course, with their lives in front of them, and the young men too, just standing here as I am, checking it out, hanging out, talking\n\n \n\nBut everyone here, every age, every type, is beautiful, the moment, somehow, the weather, has made them all real and for this moment, before it turns to night, they're all fantastic\n\n \n\nThe light is such that I can see everyone and can imagine what they are imagining for the night ahead, what dreams, what fulfilled fantasies of togetherness\n\n \n\nAnd the two guys who were here a moment ago, paused, have moved on, and the light is deepening, every moment or so, actually falling into a deeper stupor, which is night\n\n \n\nBut if I look south I still see the pink flush of desire there at the bottom, the southness of all our lives, and it's okay that it's darkening here, people accept it as they concoct plans for tonight, Thursday\n\n \n\nSoon I'll have to go too, lose this spot, this moment, but some we've met and some experience we had somewhere else is becoming ever more important\n\n ",Vincent Katz,"Living,Time & Brevity,Love,Infatuation & Crushes,Nature,Spring,Social Commentaries,Cities & Urban Life",2
